NOUN,VERB
pontage,bénéficier
surclassement,bénéficier
bilan,dresser
bilan,réaliser
biopsie,effectuer
bloc,faire
bombardement,soumettre
boulot,faire
but-sur-balles,recevoir
but,inscrire
but,marquer
campagne,mener
candidature,poser
caractère,revêtir
caractéristique,présenter
carrière,mener
championnat,disputer
changement,conclure
changement,effectuer
charge,faire
choix,porter
classe,faire
classement,établir
combat,mener
commande,faire
commentaire,faire
commerce,faire
crime,commettre
déportation,commettre
faute,commettre
pillage,commettre
compétence,disposer
compétence,exercer
risque,comporter
concert,donner
concile,tenir
convention,conclure
paix,conclure
traité,conclure
union,conclure
conclusion,tirer
étude,conduire
politique,conduire
confiance,faire
confiance,inspirer
confusion,prêter
désillusion,connaître
difficulté,connaître
édition,connaître
heure,connaître
hausse,connaître
problème,connaître
sélection,connaître
succès,connaître
conseil,délivrer
conseil,donner
consensus,faire
effort,consentir
considération,prendre
constat,procéder
construction,effectuer
consultance,faire
contact,entretenir
contact,prendre
mariage,contracter
contrat,passer
contrat,signer
contrat,souscrire
contre-proposition,faire
contrôle,effectuer
contrôle,exercer
contrôle,procéder
convention,signer
correction,effectuer
corrélation,présenter
grâce,donner
fil,recevoir
coup,donner
coup,frapper
coup,porter
risque,courir
cours,donner
cours,faire
cours,prendre
cours,suivre
course,faire
création,procéder
surprise,créer
cri,pousser
critique,faire
critique,recevoir
croisade,lancer
culture,faire
cursus,suivre
datation,effectuer
pouvoir,disposer
lieu,dresser
route,effectuer
hypertension,souffrir
popularité,jouir
maladie,souffrir
problème,souffrir
SCA,souffrir
débarquement,effectuer
débat,faire
débat,mener
débat,tenir
déception,susciter
décision,prendre
déclaration,effectuer
déclenchement,entraîner
déclin,subir
décoloration,présenter
découverte,faire
décret,prendre
défaite,essuyer
défaite,infliger
défaite,subir
défection,faire
défense,effectuer
déficit,entraîner
dégradation,entraîner
message,délivrer
demande,effectuer
demande,faire
déménagement,faire
demi-finale,jouer
démonstration,effectuer
déphosphatation,subir
déplacement,faire
effort,déploy
effort,déployer
déportation,effectuer
plainte,déposer
dépression,faire
dérive,entraîner
désagrégation,entraîner
descente,faire
description,faire
déshydratation,entraîner
dessin,réaliser
destruction,entraîner
pouvoir,détenir
développement,faire
dialogue,nouer
différence,présenter
difficulté,rencontrer
dilatation,entraîner
diminution,présenter
discours,prononcer
discussion,faire
discussion,mener
épreuve,disputer
match,disputer
partie,disputer
rencontre,disputer
distinction,faire
domination,exercer
don,faire
don,recevoir
démission,donner
droit,donner
efficacité,donner
enseignement,donner
envie,donner
espoir,donner
frisson,donner
impression,donner
indépendance,donner
indication,donner
leçon,donner
légitimité,donner
live,donner
occasion,donner
opportunité,donner
ordre,donner
permission,donner
possibilité,donner
préférence,donner
qualité,donner
réception,donner
regain,donner
réponse,donner
représentation,donner
satisfaction,donner
ultimatum,donner
doublé,inscrire
douche,prendre
douleur,souffrir
horoscope,dresser
droit,détenir
droit,jouir
étude,effectuer
évaluation,effectuer
expertise,effectuer
fouille,effectuer
installation,effectuer
mandat,effectuer
mesure,effectuer
service,effectuer
mise,effectuer
mission,effectuer
modification,effectuer
mouvement,effectuer
opération,effectuer
passage,effectuer
perfusion,effectuer
pillonage,effectuer
procédure,effectuer
raccourcissement,effectuer
radiothérapie,effectuer
recherche,effectuer
remaniement,effectuer
rénovation,effectuer
restauration,effectuer
ronde,effectuer
saisie,effectuer
saison,effectuer
séjour,effectuer
sélection,effectuer
soin,effectuer
sondage,effectuer
sortie,effectuer
stage,effectuer
suivi,effectuer
test,effectuer
tournée,effectuer
trajet,effectuer
transfert,effectuer
travail,effectuer
traversée,effectuer
utilisation,effectuer
vérification,effectuer
visite,effectuer
vol,effectuer
voyage,effectuer
effet,entraîner
effet,présenter
effet,produire
effort,faire
effort,réaliser
emploi,occuper
œuvre,mettre
scène,subir
photo,prendre
engagement,prendre
enquête,faire
enquête,mener
enquête,réaliser
victoire,enregistrer
enseignement,recevoir
enseignement,tirer
éclatement,entraîner
fatigue,entraîner
fermeture,entraîner
formation,entraîner
hypocalcémie,entraîner
impact,entraîner
interruption,entraîner
licenciement,entraîner
malaise,entraîner
manifestation,entraîner
mort,entraîner
perte,entraîner
pollution,entraîner
poursuite,entraîner
production,entraîner
recrutement,entraîner
réduction,entraîner
tension,entraîner
entrée,faire
invitations,envoyer
erreur,faire
escale,faire
essai,faire
essai,marquer
essor,prendre
exaction,faire
excuse,présenter
pas,exécuter
solo,exécuter
influence,exercer
pouvoir,exercer
pression,exercer
exercice,faire
exercice,pratiquer
existence,mener
exorcisme,procéder
expérience,faire
expérience,mener
expérience,vivre
exposition,réaliser
extraction,faire
extraction,subir
facteur,présenter
échange,faire
éloge,faire
étude,faire
évaluation,faire
fermeture,faire
fête,faire
fortune,faire
fouille,faire
foulage,faire
geste,faire
grève,faire
guerre,faire
historique,faire
inscription,faire
interview,faire
irruption,faire
répartition,faire
sélection,faire
surbooking,faire
lien,faire
ménage,faire
mendicité,faire
mention,faire
nuit,faire
offre,faire
passage,faire
passe,faire
photo,faire
portrait,faire
pression,faire
prière,faire
prise,faire
profit,faire
progrès,faire
promotion,faire
question,faire
réapparition,faire
recherche,faire
reconnaissance,faire
récupération,faire
référence,faire
remarque,faire
renseignement,faire
rentrée,faire
réservation,faire
révélation,faire
révolution,faire
rotation,faire
sécession,faire
serment,faire
service,faire
sondage,faire
stage,faire
suppression,faire
tournée,faire
traduction,faire
traitement,faire
usage,faire
versement,faire
virée,faire
vœu,faire
voyage,faire
fermentation,subir
fin,prendre
finale,jouer
fondation,procéder
formation,suivre
recours,former
prophétie,formuler
recommandation,formuler
vœu,formuler
réponse,fournir
travail,fournir
fuite,prendre
silence,garder
souvenir,garder
génie,posséder
grève,observer
habillage,réaliser
hommage,rendre
hurlement,pousser
hypersensibilité,présenter
hypocalcémie,présenter
ICP,subir
identification,procéder
incantation,prononcer
évènement,présenter
infection,présenter
traitement,infliger
influence,subir
inhumation,procéder
initiative,prendre
inquiétude,inspirer
inquiétude,susciter
point,inscrire
insuffisance,présenter
intérêt,porter
intérêt,susciter
interrogatoire,mener
intervention,subir
investigation,mener
invitations,recevoir
ischémie,présenter
jeu,jouer
match,jouer
rôle,jouer
tour,jouer
obligation,jouir
jugement,porter
malédiction,lancer
largesse,prodiguer
lecture,procéder
parole,livrer
renseignement,livrer
lutte,mener
magie,pratiquer
manoeuvre,mener
marché,passer
massacre,réaliser
méfiance,susciter
menace,peser
menace,recevoir
étude,mener
négociation,mener
opération,mener
opérations,mener
plongée,mener
politique,mener
programme,mener
recherche,mener
réflexion,mener
ségrégation,mener
vie,mener
mesure,prendre
veto,mettre
modification,subir
préférence,montrer
permission,obtenir
succès,obtenir
victoire,obtenir
ordonnance,signer
ordre,recevoir
origine,trouver
ouverture,procéder
paiement,recevoir
partenariat,signer
vacance,passer
regard,pencher
perfusion,recevoir
perte,subir
photographie,prendre
piège,tendre
plainte,porter
plaisir,prendre
planification,réaliser
polémique,susciter
secours,porter
sur-titre,porter
question,poser
position,prendre
préjudice,subir
précaution,prendre
repas,prendre
résolution,prendre
revanche,prendre
sanction,prendre
succession,prendre
vacances,prendre
réaction,présenter
requête,présenter
risque,présenter
saignement,présenter
SCA,présenter
signe,présenter
symptôme,présenter
taux,présenter
trouble,présenter
pression,subir
prêt,souscrire
serment,prêter
échange,procéder
étude,procéder
évaluation,procéder
réduction,procéder
réforme,procéder
résultat,produire
prolongation,signer
propos,tenir
proposition,émettre
protocole,signer
publication,réaliser
étude,réaliser
évaluation,réaliser
récolte,réaliser
travail,réaliser
traversée,réaliser
triplé,réaliser
vol,réaliser
éducation,recevoir
remerciement,recevoir
soutien,recevoir
subvention,recevoir
traitement,recevoir
visite,recevoir
signification,recouvrir
soutien,recueillir
remord,éprouver
rôle,remplir
succès,remporter
victoire,remporter
succès,rencontrer
service,rendre
visite,rendre
retouche,subir
réunion,tenir
rôle-titre,tenir
rotation,subir
secours,venir
siège,subir
traité,signer
victoire,signer
souffrance,subir
souricière,tendre
échec,subir
test,subir
trachéotomie,subir
traitement,subir
transplantation,subir
vexation,subir
thérapie,suivre
